"estacion","dia_wd","hora","viajes_retiro_prom","edad_p","prop_f","duracion_p","dist_prom","viajes_arribo_prom","region","region_0","region_1","region_10","region_11","region_12","region_2","region_3","region_4","region_5","region_6","region_7","region_8","region_9","dia_2","dia_3","dia_4","dia_5","dia_6","hora_6","hora_7","hora_8","hora_9","hora_10","hora_11","flujo_abs","maxcapacity","flujo_rel"
159,2,9,9.8,35.867922253615,0.189468820567118,10.7231058456507,1.59652297009148,2.46511627906977,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-1.19871794871795,36,-0.0332977207977208
159,2,10,3.76923076923077,33.9765133559251,0.256752071457954,10.5859036388448,1.41767514838103,2.18181818181818,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.176282051282051,36,-0.00489672364672365
159,2,11,2.34782608695652,34.2585921325052,0.142701863354037,12.5718426501035,1.30605124223602,2.45652173913043,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.016025641025641,36,0.000445156695156695
159,3,6,1.36363636363636,30.5454545454545,0.151515151515152,7.81060606060606,1.22575757575758,2.2,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.150641025641026,36,0.00418447293447293
159,3,7,2.275,32.28875,0.24,13.7695833333333,1.93664166666667,4.55769230769231,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.426282051282051,36,0.0118411680911681
159,3,8,11.4230769230769,34.9710091077902,0.268127173316621,12.3897243303768,1.86427962248481,3.26,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1.3974358974359,36,-0.0388176638176638
159,3,9,10.0961538461538,34.6591891000924,0.256566318016217,9.67060448126997,1.48140798406778,3.34,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1.11538461538462,36,-0.030982905982906
159,3,10,4.95833333333333,32.4107683982684,0.222737043049543,9.5924280002405,1.36083863936989,2.72340425531915,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.381410256410256,36,-0.0105947293447293
159,3,11,2.5952380952381,34.1024943310658,0.145634920634921,11.5073129251701,1.30511167800454,2.77551020408163,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.102564102564103,36,0.00284900284900285
159,4,6,1.61111111111111,35.2962962962963,0.0555555555555556,9,1.31537037037037,2.32608695652174,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.201923076923077,36,0.00560897435897436
159,4,7,2.26190476190476,33.2634920634921,0.241666666666667,14.6380952380952,1.97183333333333,4.84313725490196,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.46474358974359,36,0.0129095441595442
159,4,8,11.8846153846154,34.2911101056006,0.298802774591329,12.6991462658961,1.81989249293334,3.14583333333333,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.5,36,-0.0416666666666667
159,4,9,10.2352941176471,33.9006237451716,0.204772675859454,10.1832774891189,1.55466988634961,2.58333333333333,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1.25,36,-0.0347222222222222
159,4,10,4.8125,33.6844337375587,0.186894933769934,10.5301855551856,1.44035240627428,2.54347826086957,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.371794871794872,36,-0.0103276353276353
159,4,11,2.65909090909091,34.028354978355,0.22012987012987,11.1651785714286,1.33055546536797,2.5,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.00320512820512821,36,-8.90313390313391e-05
159,5,6,1.5,33.40625,0.0625,9.21875,1.40875,2.35294117647059,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.235849056603774,36,0.00655136268343815
159,5,7,2.40909090909091,34.1362012987013,0.266612554112554,15.7742424242424,2.28647023809524,4.52941176470588,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.380503144654088,36,0.0105695317959469
159,5,8,9.64,35.238626663103,0.331688928323139,13.188613352437,1.96899520555468,3.62,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.977987421383648,36,-0.0271663172606569
159,5,9,12.3333333333333,34.1883279117826,0.220887230843939,10.1689772126549,1.57084782852652,3.07843137254902,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1.45283018867925,36,-0.040356394129979
159,5,10,4.59183673469388,33.7815906882233,0.231966163088612,10.4307182613305,1.32338026769149,3.14583333333333,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.251572327044025,36,-0.00698812019566737
159,5,11,2.73913043478261,32.9154314888011,0.225164690382082,10.6816864295125,1.27753837285903,2.79591836734694,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0534591194968553,36,0.00148497554157932
159,6,6,1.54545454545455,33.6590909090909,0.121212121212121,8.8030303030303,1.36098484848485,1.90697674418605,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.128205128205128,36,0.00356125356125356
159,6,7,1.97727272727273,38.1291666666667,0.33030303030303,13.9223484848485,2.03291287878788,3.7843137254902,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.288461538461538,36,0.00801282051282051
159,6,8,8.54901960784314,35.6276393336423,0.323539641944759,12.736350270513,1.82290810502168,3.58333333333333,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-0.83974358974359,36,-0.0233262108262108
159,6,9,9.82,35.7660886591908,0.204295669071211,10.1911881438135,1.49656347503889,2.59090909090909,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1.18910256410256,36,-0.0330306267806268
159,6,10,5.47916666666667,34.8282572751323,0.270271164021164,10.0198412698413,1.41486119378307,2.91304347826087,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.44551282051282,36,-0.0123753561253561
159,6,11,3.5625,34.3184358465608,0.204778439153439,11.3866071428571,1.31295023148148,2.89130434782609,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.131410256410256,36,-0.0036502849002849
16,2,6,1.56666666666667,37.4833333333333,0.344444444444444,8.95,1.09094444444444,7.3469387755102,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.769230769230769,36,0.0213675213675214
16,2,7,3.58695652173913,30.0583850931677,0.353209109730849,8.32826086956522,1.08020393374741,20.8823529411765,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.04166666666667,36,0.056712962962963
16,2,8,5.65957446808511,34.0236099597802,0.370535906174204,11.6318504190845,1.55843285437966,36.36,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5.00320512820513,36,0.13897792022792
16,2,9,4.375,34.5372354497354,0.266939484126984,12.6278025793651,1.41541468253968,20.6666666666667,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.3525641025641,36,0.0931267806267806
16,2,10,4.61224489795918,35.3395772594752,0.250372529964367,12.1522432782637,1.51011645610625,8.8,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.849358974358974,36,0.0235933048433048
16,2,11,4.54347826086957,36.7325841429102,0.217344189626798,12.4368994532038,1.34815175585284,6.11538461538461,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.391025641025641,36,0.0108618233618234
